Country,Employment,ConvertedComp,EdLevel,YearsCodePro
Greece,Employed full-time,21620.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",15
Canada,Employed full-time,37816.0,Some college/university study without earning a degree,2
Canada,Employed full-time,71850.0,Some college/university study without earning a degree,25
Israel,Employed part-time,35028.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Canada,Employed full-time,75631.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Czech Republic,Employed full-time,41568.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
Canada,Employed full-time,79413.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
United States,Employed full-time,93000.0,"Associate degree (A.A., A.S., etc.)",11
United States,Employed full-time,40000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
Germany,Employed full-time,46044.0,"Professional degree (JD, MD, etc.)",3
United States,Employed full-time,148000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United States,Employed full-time,130000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21
United States,Employed full-time,65000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United States,Employed full-time,78800.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United Kingdom,Employed full-time,116333.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
United States,Employed full-time,145000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16
Germany,Employed full-time,61616.0,"Associate degree (A.A., A.S., etc.)",6
United States,Employed full-time,145000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United Kingdom,Employed full-time,109871.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United States,Employed full-time,2000000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,"Independent contractor, freelancer, or self-employed",0.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19
United States,Employed full-time,2000000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",11
United States,Employed full-time,145000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United States,Employed full-time,80000.0,Some college/university study without earning a degree,4
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Spain,"Independent contractor, freelancer, or self-employed",15564.0,Primary/elementary school,4
Bulgaria,Employed full-time,24864.0,Some college/university study without earning a degree,5
United Kingdom,"Independent contractor, freelancer, or self-employed",210050.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Germany,"Independent contractor, freelancer, or self-employed",129718.0,Some college/university study without earning a degree,35
United States,Employed full-time,215000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,45000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United States,Employed full-time,53000.0,"Associate degree (A.A., A.S., etc.)",1
United States,Employed full-time,97500.0,Some college/university study without earning a degree,5
United States,Employed full-time,75000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United Kingdom,Employed full-time,32315.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3
Sweden,"Independent contractor, freelancer, or self-employed",59320.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Canada,Employed full-time,37816.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Germany,Employed full-time,54480.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
India,Employed full-time,293196.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,300000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Ukraine,Employed full-time,9792.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
Switzerland,Employed full-time,121980.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
United States,Employed full-time,90000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,150000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25
United States,Employed full-time,80000.0,"Associate degree (A.A., A.S., etc.)",12
United States,Employed full-time,125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Canada,Employed full-time,64287.0,"Associate degree (A.A., A.S., etc.)",4
United States,Employed full-time,170000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18
United States,Employed full-time,112000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,141000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11
Netherlands,Employed full-time,36324.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,"Independent contractor, freelancer, or self-employed",100000.0,Some college/university study without earning a degree,12
United States,Employed full-time,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
Germany,Employed full-time,48644.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",6
Canada,Employed full-time,41597.0,"Professional degree (JD, MD, etc.)",5
United States,Employed full-time,300000.0,"Professional degree (JD, MD, etc.)",2
United States,Employed full-time,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Hungary,Employed full-time,29628.0,Some college/university study without earning a degree,8
Canada,"Independent contractor, freelancer, or self-employed",60505.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24
United States,Employed full-time,70000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Netherlands,Employed part-time,41100.0,Primary/elementary school,3
United States,Employed full-time,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
Germany,Employed full-time,34591.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Germany,Employed full-time,59454.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Slovenia,"Independent contractor, freelancer, or self-employed",28536.0,Some college/university study without earning a degree,2
Canada,Employed full-time,94539.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",18
France,Employed full-time,52968.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United States,Employed full-time,2000000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
United States,Employed full-time,83450.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
United States,Employed full-time,1920000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
Netherlands,Employed full-time,129718.0,Some college/university study without earning a degree,14
United States,Employed full-time,105000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32
United States,Employed full-time,90000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
United States,Employed full-time,208000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28
United States,Employed full-time,160000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United States,Employed full-time,90000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",9
Romania,Employed full-time,27240.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Italy,"Independent contractor, freelancer, or self-employed",21620.0,Some college/university study without earning a degree,35
United States,Employed full-time,144000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United States,Employed full-time,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Germany,Employed full-time,81074.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United States,Employed full-time,160000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19
United States,Employed full-time,170000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
France,Employed full-time,41077.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United States,Employed full-time,99600.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Canada,Employed full-time,87732.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,Employed full-time,113447.0,"Associate degree (A.A., A.S., etc.)",2
France,Employed full-time,28152.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1
France,Employed full-time,48644.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
United States,Employed full-time,65000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Portugal,Employed full-time,58368.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
United Kingdom,Employed full-time,44595.0,Some college/university study without earning a degree,3
India,Employed full-time,11728.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
United States,Employed full-time,140000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,120000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22
United States,Employed full-time,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
Portugal,Employed full-time,54049.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
United States,Employed full-time,65000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
Mexico,Employed full-time,29088.0,Some college/university study without earning a degree,6
United States,Employed part-time,0.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2
United States,Employed full-time,65000.0,Some college/university study without earning a degree,7
United States,Employed full-time,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20
Brazil,Employed full-time,8244.0,Some college/university study without earning a degree,3
Israel,Employed full-time,87552.0,"Professional degree (JD, MD, etc.)",3
United States,Employed full-time,102000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,120000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
United States,Employed full-time,77500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,Employed full-time,60505.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
United States,Employed full-time,122780.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,450000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19
Nigeria,Employed full-time,6588.0,Some college/university study without earning a degree,Less than 1 year
Mexico,Employed full-time,38784.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Finland,Employed full-time,54049.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
United States,Employed full-time,82000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
France,"Independent contractor, freelancer, or self-employed",518868.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",30
United States,Employed full-time,112000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38
United States,Employed full-time,171000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
United States,Employed full-time,75000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United States,Employed full-time,125000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
United States,Employed full-time,75000.0,Some college/university study without earning a degree,2
Sweden,Employed full-time,76464.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United States,Employed full-time,85000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
Austria,Employed full-time,42804.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
United Kingdom,Employed full-time,23267.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Belgium,Employed full-time,45396.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
United States,"Independent contractor, freelancer, or self-employed",165000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24
United States,Employed full-time,36000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1
India,Employed full-time,150792.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,1104000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Greece,Employed full-time,27888.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
France,Employed full-time,24648.0,"Professional degree (JD, MD, etc.)",3
United States,Employed full-time,72000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Portugal,Employed full-time,32424.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
Canada,Employed full-time,41597.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Greece,"Independent contractor, freelancer, or self-employed",51888.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19
Sweden,Employed full-time,51138.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
United States,"Independent contractor, freelancer, or self-employed",100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30
Turkey,Employed full-time,33528.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
Canada,Employed full-time,57480.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
France,Employed full-time,59454.0,"Professional degree (JD, MD, etc.)",22
Panama,Employed full-time,31200.0,Some college/university study without earning a degree,5
Greece,"Independent contractor, freelancer, or self-employed",80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United States,Employed full-time,75000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,260000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
United States,Employed full-time,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
United States,Employed full-time,100000.0,Some college/university study without earning a degree,Less than 1 year
United States,Employed full-time,146400.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23
Canada,Employed full-time,136136.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21
United States,Employed full-time,82500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Ireland,Employed full-time,648588.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19
United States,Employed full-time,170000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30
Brazil,Employed full-time,8712.0,Some college/university study without earning a degree,10
United States,Employed full-time,98000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
Canada,"Independent contractor, freelancer, or self-employed",1000000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
United States,Employed full-time,160000.0,Some college/university study without earning a degree,15
United States,Employed full-time,160000.0,I never completed any formal education,20
Germany,Employed full-time,108098.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16
Canada,Employed full-time,71850.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26
India,Employed full-time,4188.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Canada,Employed full-time,55967.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
United States,Employed full-time,131800.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25
United States,Employed part-time,24000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Brazil,Employed full-time,17184.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
United States,Employed full-time,80000.0,Some college/university study without earning a degree,15
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United States,Employed full-time,120000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed full-time,87896.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,99000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1
United States,Employed full-time,150000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
Canada,Employed full-time,55967.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
Netherlands,Employed full-time,64859.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United Kingdom,Employed full-time,84019.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",2
Switzerland,Employed full-time,142308.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10
United States,Employed full-time,110000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
United States,Employed full-time,69000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,55000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Spain,Employed full-time,36753.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United Kingdom,Employed full-time,27144.0,Some college/university study without earning a degree,2
United States,Employed full-time,130000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Estonia,Employed full-time,31348.0,Some college/university study without earning a degree,2
Canada,Employed full-time,68068.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
United Kingdom,Employed full-time,387780.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
United States,Employed full-time,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Philippines,Employed full-time,14220.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,140000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United States,"Independent contractor, freelancer, or self-employed",200000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
Germany,Employed full-time,97288.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23
United States,Employed full-time,90000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United Kingdom,Employed full-time,659220.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United States,Employed full-time,144000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16
Canada,Employed full-time,52942.0,Some college/university study without earning a degree,2
United States,Employed full-time,140000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
United Kingdom,Employed full-time,71093.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Canada,Employed full-time,136136.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
Poland,Employed full-time,39492.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9
United States,Employed full-time,90000.0,Some college/university study without earning a degree,28
Canada,Employed full-time,64287.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,48500.0,Some college/university study without earning a degree,1
United States,Employed full-time,92300.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
Canada,Employed full-time,56723.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Brazil,Employed full-time,24744.0,Some college/university study without earning a degree,11
United States,Employed full-time,90000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
Canada,"Independent contractor, freelancer, or self-employed",75631.0,Some college/university study without earning a degree,30
United Kingdom,Employed full-time,39941.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
United Kingdom,Employed full-time,775560.0,Some college/university study without earning a degree,11
United States,Employed full-time,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,Employed full-time,44622.0,Some college/university study without earning a degree,3
Greece,Employed full-time,11676.0,Some college/university study without earning a degree,Less than 1 year
United States,Employed full-time,107000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United States,Employed full-time,95000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United States,Employed full-time,93840.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18
United States,Employed full-time,79095.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18
Australia,Employed full-time,46767.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20
United Kingdom,Employed full-time,51704.0,Some college/university study without earning a degree,4
United States,Employed full-time,105000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Canada,Employed full-time,43866.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Canada,Employed full-time,60505.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Turkey,Employed full-time,216960.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
Peru,Employed full-time,56760.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17
India,Employed full-time,23735.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Canada,Employed full-time,39328.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Canada,Employed full-time,71850.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16
United States,Employed full-time,104000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13
Cyprus,Employed full-time,41618.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13
Canada,Employed full-time,117229.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26
Canada,Employed full-time,35849.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United States,Employed full-time,105000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Germany,Employed full-time,739392.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed part-time,56874.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16
Canada,Employed full-time,151263.0,Primary/elementary school,15
United States,Employed full-time,80000.0,Some college/university study without earning a degree,22
Sri Lanka,Employed full-time,9564.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Canada,Employed full-time,52942.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20
Israel,Employed full-time,105072.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United States,Employed full-time,75000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
United States,"Independent contractor, freelancer, or self-employed",85000.0,Some college/university study without earning a degree,6
United Kingdom,Employed full-time,77556.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6
United States,Employed full-time,170000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Brazil,"Independent contractor, freelancer, or self-employed",27492.0,"Professional degree (JD, MD, etc.)",8
United States,Employed full-time,68000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,Employed full-time,55211.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Taiwan,Employed full-time,36456.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United States,Employed full-time,119820.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
Italy,Employed full-time,32429.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
United Kingdom,Employed full-time,581667.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
United States,Employed full-time,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United States,Employed full-time,65000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
United Kingdom,Employed full-time,32315.0,Some college/university study without earning a degree,2
United States,Employed full-time,73000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United States,Employed full-time,110000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",3
United States,Employed full-time,150000.0,Some college/university study without earning a degree,20
United States,Employed full-time,115000.0,Some college/university study without earning a degree,20
United States,Employed full-time,70338.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,154000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
Germany,Employed full-time,107017.0,"Professional degree (JD, MD, etc.)",14
United States,Employed full-time,68000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
